Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
74	0.6969697	0.4285496	1.0	0.09090909	38.0	0.062756	0.20823364	1.0475333	-0.012572221	37500	-0.2995306	0.006895398	0.008584946	-0.0009163986	1.4976529	0.026718706	0.486	1.0	52.594754219055176
75	0.6818182	0.45074165	1.0	0.0	39.166668	0.1087208	0.23499613	0.87869644	-0.027345382	38000	-0.28283554	0.013568142	0.00997147	-0.0030766232	1.4141778	0.030822692	0.398	2.0	53.27617001533508
76	0.9	0.29999998	1.0	0.0	45.8	0.020707356	0.126584	0.6828808	-0.05097775	38500	-0.29290974	0.010646639	0.00967136	-0.0015552295	1.4645486	0.035209212	0.62	1.0	53.86250567436218
77	0.9090909	0.27272728	1.0	0.09090909	50.0	0.026153015	0.14674243	0.85213125	-0.028014868	39000	-0.29791138	0.0035480033	-0.008251697	-0.0011096045	1.4895568	0.047498133	0.502	2.0	54.466243505477905
78	0.9090909	0.27272725	1.0	0.09090909	45.2	0.0151353795	0.19201733	1.0556393	-0.035024278	39500	-0.30903184	0.0019667232	0.011261165	2.2626482e-06	1.5451592	0.022511134	0.46	1.0	55.01798415184021
79	0.9090909	0.27272725	1.0	0.09090909	45.2	0.016061157	0.1974005	1.055367	-0.05672819	40000	-0.30220994	0.0017126632	-0.00356853	-0.00014514569	1.5110496	0.022859143	0.746	3.0	55.548288106918335
80	0.7651515	0.4073335	1.0	0.0	40.583332	0.087769106	0.24043362	1.0334948	-0.040318646	40500	-0.2914993	0.029214775	0.018107623	-0.012571776	1.4574964	0.03492701	0.412	1.0	56.1738395690918
81	0.6136363	0.45775387	1.0	0.0	38.0	0.12327985	0.16145062	0.5207345	-0.12003192	41000	-0.26238286	0.01565714	0.00435853	-0.0011037802	1.3119143	0.01608046	0.41	4.0	56.803043603897095
82	0.9090909	0.27272728	1.0	0.09090909	45.2	0.05529033	0.082646005	0.535902	-0.10157355	41500	-0.30569798	0.014306907	-0.0030234158	-0.011962169	1.5284898	0.016424023	0.212	4.0	57.3556547164917
83	0.8090909	0.38235894	1.0	0.0	50.0	0.18197621	0.2575104	1.1075457	-0.007228516	42000	-0.29736125	0.007055663	0.0072535574	-0.002309415	1.4868063	0.018274955	0.536	1.0	57.885817527770996
84	0.8264463	0.36867285	1.0	0.0	45.454544	0.14403667	0.16898859	0.9427556	0.061236806	42500	-0.28374535	0.021362947	-0.0070468783	-0.01028288	1.4187267	0.0065329466	0.33	15.0	58.452152729034424
85	0.8181818	0.36363634	1.0	0.09090909	50.0	0.04942802	0.11727964	0.64995354	-0.04700266	43000	-0.2938462	0.009108717	0.0030458272	-0.0021100063	1.4692309	0.015726464	0.424	1.0	58.99833130836487
86	0.7520661	0.41040358	1.0	0.0	41.272728	0.055090904	0.16299795	0.8075885	-0.08935391	43500	-0.28015628	0.008092027	-0.0018458068	0.0036184797	1.4007814	0.022248188	0.398	2.0	59.609426498413086
87	0.7520661	0.40487435	1.0	0.09090909	41.272728	0.18660173	0.28042358	1.0264304	0.04200806	44000	-0.2772513	0.008370864	-0.0015432537	-0.0021157344	1.3862565	0.008809754	0.228	15.0	60.231873989105225
