Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	0.34483334	0.3072928	1.0	0.0	2.5	0.3173556	0.19924225	0.8853496	-0.125266	38500	-0.14977768	0.06167797	0.00067035854	-0.00064266846	0.74888813	0.024883026	0.362	14.0	497.3951578140259
77	0.3066845	0.3088488	1.0	0.0	2.6684492	0.2621266	0.210378	0.9388245	-0.07172918	39000	-0.17093517	0.055084147	0.040224448	-0.00095524266	0.8546758	0.088764854	0.506	1.0	504.1569838523865
78	0.29624277	0.29327783	1.0	0.0	2.682081	0.3217967	0.2223213	0.9384691	-0.049621172	39500	-0.14573936	0.0337048	0.037999496	-0.0062630866	0.7286967	0.024484174	0.44	1.0	510.63502264022827
79	0.24691668	0.28524393	0.8	0.0	2.495	0.24578275	0.22332025	1.0301284	-0.06329357	40000	-0.15844199	0.03283152	-0.010422483	-0.006667232	0.79220974	0.0180123	0.244	2.0	517.7542188167572
80	0.33359376	0.3188225	1.0	0.0	2.5989583	0.19427398	0.2223445	0.927704	-0.1272568	40500	-0.15040994	0.08210226	0.019553855	-0.0112049505	0.7520497	0.018414684	0.258	14.0	524.2344043254852
81	0.3570352	0.29937246	1.0	0.0	2.5075376	0.27687126	0.19204426	0.9224003	-0.025333695	41000	-0.1311399	0.05725618	0.0007505119	-0.003854286	0.65569955	0.016282609	0.218	13.0	531.0674095153809
82	0.32031968	0.30354637	1.0	0.0	2.2831051	0.30130792	0.21246766	0.95637095	-0.0175348	41500	-0.15224226	0.055603348	0.021561697	-0.001285471	0.76121134	0.027568238	0.386	1.0	538.1742255687714
83	0.27120417	0.3052761	1.0	0.0	2.617801	0.27865487	0.21050662	1.0961274	-0.02684559	42000	-0.17312162	0.04233903	0.03366828	-0.006632384	0.86560804	0.04449104	0.49	1.0	545.0079233646393
84	0.32808474	0.31411213	1.0	0.0	2.756906	0.18960276	0.21645291	0.92198074	-0.19500023	42500	-0.15490533	0.070893265	0.027270913	-0.008983694	0.77452666	0.017714025	0.392	1.0	551.6568744182587
85	0.30173826	0.29454026	0.8	0.0	2.96319	0.28589585	0.2181128	0.9968409	-0.06147749	43000	-0.15228024	0.028399095	0.0040083975	-0.0070631094	0.76140124	0.024536477	0.328	2.0	557.3586721420288
86	0.32373473	0.31363398	1.0	0.0	2.6125655	0.25423145	0.22082658	0.9970477	-0.131516	43500	-0.15965284	0.07887401	0.02580893	-0.0034307986	0.79826427	0.05496503	0.46	1.0	563.9700813293457
87	0.3547739	0.31367642	1.0	0.0	2.4974875	0.28049883	0.21313769	1.0874738	-0.05222667	44000	-0.15089555	0.080133066	0.033210717	-0.004421033	0.75447774	0.0361797	0.484	3.0	570.6972312927246
88	0.33008772	0.3105169	1.0	0.0	2.6210527	0.35526988	0.18187296	0.94661885	-0.045225874	44500	-0.15463467	0.06011113	0.019114837	-0.007222615	0.7731733	0.033143524	0.456	3.0	577.3611993789673
89	0.30319148	0.30986798	1.0	0.0	2.6595745	0.2767629	0.19312984	0.95066714	-0.038630806	45000	-0.16621596	0.07313343	0.04002002	-0.00043153763	0.8310797	0.024422336	0.38	1.0	582.7998292446136
90	0.33834153	0.31740403	1.0	0.0	2.458128	0.30884168	0.22387162	1.2022215	-0.03867711	45500	-0.14612871	0.08120891	0.0041543543	-0.0024892315	0.7306435	0.016367832	0.34	13.0	588.2577018737793
91	0.32928354	0.31639472	1.0	0.0	2.3317757	0.31499684	0.19203323	0.9607572	0.013319388	46000	-0.13790686	0.08137064	-0.00941512	-0.0025697276	0.68953425	0.007498077	0.114	15.0	594.0812559127808
92	0.3662722	0.3210045	1.0	0.0	2.9467456	0.3183321	0.18517244	1.006758	0.034344003	46500	-0.14229448	0.076032296	-0.0022059232	-0.0024278164	0.71147233	0.015599134	0.258	2.0	598.9166932106018
